turn	era	score	type	description
143	ERA_ATOMIC	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, Helena Rubinstein chooses to bring their talents to China.
143	ERA_ATOMIC	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, Rabindranath Tagore chooses to bring their talents to China.
143	ERA_ATOMIC	1	MOMENT_UNIT_KILLED_UNDERDOG_MILITARY_FORMATION	Despite being heavily outnumbered, our Nuclear Submarine has won the day!
145	ERA_ATOMIC	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, John Roebling chooses to bring their talents to China.
146	ERA_ATOMIC	4	MOMENT_BUILDING_CONSTRUCTED_GAME_ERA_WONDER	Standing in the Biosphère, the citizens of Xi'an are filled with awe.
146	ERA_ATOMIC	3	MOMENT_NATIONAL_PARK_CREATED	Our civilization’s citizens flock to the newest National Park and reconnect to the natural world.
146	ERA_ATOMIC	1	MOMENT_ARTIFACT_EXTRACTED	As the dirt is brushed away, the Mummy sees the light of sun after ages. It will grace the museums of China for years to come.
147	ERA_ATOMIC	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, Mykola Leontovych chooses to bring their talents to China.
148	ERA_ATOMIC	1	MOMENT_GREAT_PERSON_CREATED_GAME_ERA	After deliberation, Stephanie Kwolek chooses to bring their talents to China.
148	ERA_ATOMIC	1	MOMENT_ARTIFACT_EXTRACTED	As the dirt is brushed away, the Chalice sees the light of sun after ages. It will grace the museums of China for years to come.
